file_path,species_name
data/birds/raw_audio/asbfly\XC134896.ogg,asbfly
data/birds/raw_audio/asbfly\XC164848.ogg,asbfly
data/birds/raw_audio/asbfly\XC175797.ogg,asbfly
data/birds/raw_audio/asbfly\XC207738.ogg,asbfly
data/birds/raw_audio/asbfly\XC209218.ogg,asbfly
data/birds/raw_audio/asbfly\XC209219.ogg,asbfly
data/birds/raw_audio/asbfly\XC267679.ogg,asbfly
data/birds/raw_audio/asbfly\XC267680.ogg,asbfly
data/birds/raw_audio/asbfly\XC267681.ogg,asbfly
data/birds/raw_audio/asbfly\XC267682.ogg,asbfly
data/birds/raw_audio/asbfly\XC267683.ogg,asbfly
data/birds/raw_audio/asbfly\XC291450.ogg,asbfly
data/birds/raw_audio/asbfly\XC305518.ogg,asbfly
data/birds/raw_audio/asbfly\XC309402.ogg,asbfly
data/birds/raw_audio/asbfly\XC312456.ogg,asbfly
data/birds/raw_audio/asbfly\XC313835.ogg,asbfly
data/birds/raw_audio/asbfly\XC329259.ogg,asbfly
data/birds/raw_audio/asbfly\XC341611.ogg,asbfly
data/birds/raw_audio/asbfly\XC341612.ogg,asbfly
data/birds/raw_audio/asbfly\XC342037.ogg,asbfly
data/birds/raw_audio/asbfly\XC342638.ogg,asbfly
data/birds/raw_audio/asbfly\XC347563.ogg,asbfly
data/birds/raw_audio/asbfly\XC347938.ogg,asbfly
data/birds/raw_audio/asbfly\XC374520.ogg,asbfly
data/birds/raw_audio/asbfly\XC376509.ogg,asbfly
data/birds/raw_audio/asbfly\XC396237.ogg,asbfly
data/birds/raw_audio/asbfly\XC396238.ogg,asbfly
data/birds/raw_audio/asbfly\XC399102.ogg,asbfly
data/birds/raw_audio/asbfly\XC405069.ogg,asbfly
data/birds/raw_audio/asbfly\XC412227.ogg,asbfly
data/birds/raw_audio/asbfly\XC412228.ogg,asbfly
data/birds/raw_audio/asbfly\XC441145.ogg,asbfly
data/birds/raw_audio/asbfly\XC453302.ogg,asbfly
data/birds/raw_audio/asbfly\XC464609.ogg,asbfly
data/birds/raw_audio/asbfly\XC484489.ogg,asbfly
data/birds/raw_audio/asbfly\XC49755.ogg,asbfly
data/birds/raw_audio/asbfly\XC499134.ogg,asbfly
data/birds/raw_audio/asbfly\XC505369.ogg,asbfly
data/birds/raw_audio/asbfly\XC508268.ogg,asbfly
data/birds/raw_audio/asbfly\XC528852.ogg,asbfly
data/birds/raw_audio/asbfly\XC530877.ogg,asbfly
data/birds/raw_audio/asbfly\XC554430.ogg,asbfly
data/birds/raw_audio/asbfly\XC575547.ogg,asbfly
data/birds/raw_audio/asbfly\XC578908.ogg,asbfly
data/birds/raw_audio/asbfly\XC578909.ogg,asbfly
data/birds/raw_audio/asbfly\XC589132.ogg,asbfly
data/birds/raw_audio/asbfly\XC596043.ogg,asbfly
data/birds/raw_audio/asbfly\XC600171.ogg,asbfly
data/birds/raw_audio/asbfly\XC610733.ogg,asbfly
data/birds/raw_audio/asbfly\XC610734.ogg,asbfly
data/birds/raw_audio/asbfly\XC610735.ogg,asbfly
data/birds/raw_audio/asbfly\XC629846.ogg,asbfly
data/birds/raw_audio/asbfly\XC629847.ogg,asbfly
data/birds/raw_audio/asbfly\XC643642.ogg,asbfly
data/birds/raw_audio/asbfly\XC647397.ogg,asbfly
data/birds/raw_audio/asbfly\XC665386.ogg,asbfly
data/birds/raw_audio/asbfly\XC677470.ogg,asbfly
data/birds/raw_audio/asbfly\XC684073.ogg,asbfly
data/birds/raw_audio/asbfly\XC687953.ogg,asbfly
data/birds/raw_audio/asbfly\XC687954.ogg,asbfly
data/birds/raw_audio/asbfly\XC687955.ogg,asbfly
data/birds/raw_audio/asbfly\XC712207.ogg,asbfly
data/birds/raw_audio/asbfly\XC713467.ogg,asbfly
data/birds/raw_audio/asbfly\XC713503.ogg,asbfly
data/birds/raw_audio/asbfly\XC716486.ogg,asbfly
data/birds/raw_audio/asbfly\XC716692.ogg,asbfly
data/birds/raw_audio/asbfly\XC716727.ogg,asbfly
data/birds/raw_audio/asbfly\XC716737.ogg,asbfly
data/birds/raw_audio/asbfly\XC716738.ogg,asbfly
data/birds/raw_audio/asbfly\XC716740.ogg,asbfly
data/birds/raw_audio/asbfly\XC718355.ogg,asbfly
data/birds/raw_audio/asbfly\XC724148.ogg,asbfly
data/birds/raw_audio/asbfly\XC724266.ogg,asbfly
data/birds/raw_audio/asbfly\XC741062.ogg,asbfly
data/birds/raw_audio/asbfly\XC741066.ogg,asbfly
data/birds/raw_audio/asbfly\XC741067.ogg,asbfly
data/birds/raw_audio/asbfly\XC745831.ogg,asbfly
data/birds/raw_audio/asbfly\XC749597.ogg,asbfly
data/birds/raw_audio/asbfly\XC756431.ogg,asbfly
data/birds/raw_audio/asbfly\XC756532.ogg,asbfly
data/birds/raw_audio/asbfly\XC756617.ogg,asbfly
data/birds/raw_audio/asbfly\XC760532.ogg,asbfly
data/birds/raw_audio/asbfly\XC767510.ogg,asbfly
data/birds/raw_audio/asbfly\XC770506.ogg,asbfly
data/birds/raw_audio/asbfly\XC770507.ogg,asbfly
data/birds/raw_audio/asbfly\XC775904.ogg,asbfly
data/birds/raw_audio/asbfly\XC778686.ogg,asbfly
data/birds/raw_audio/asbfly\XC778717.ogg,asbfly
data/birds/raw_audio/asbfly\XC785503.ogg,asbfly
data/birds/raw_audio/asbfly\XC805713.ogg,asbfly
data/birds/raw_audio/asbfly\XC818340.ogg,asbfly
data/birds/raw_audio/asbfly\XC821324.ogg,asbfly
data/birds/raw_audio/asbfly\XC821773.ogg,asbfly
data/birds/raw_audio/asbfly\XC825177.ogg,asbfly
data/birds/raw_audio/asbfly\XC827640.ogg,asbfly
data/birds/raw_audio/asbfly\XC830258.ogg,asbfly
data/birds/raw_audio/asbfly\XC833987.ogg,asbfly
data/birds/raw_audio/asbfly\XC834959.ogg,asbfly
data/birds/raw_audio/asbfly\XC837545.ogg,asbfly
data/birds/raw_audio/asbfly\XC839572.ogg,asbfly
data/birds/raw_audio/asbfly\XC842684.ogg,asbfly
data/birds/raw_audio/asbfly\XC842686.ogg,asbfly
data/birds/raw_audio/asbfly\XC846616.ogg,asbfly
data/birds/raw_audio/asbfly\XC856776.ogg,asbfly
data/birds/raw_audio/asbfly\XC858110.ogg,asbfly
data/birds/raw_audio/ashdro1\XC114598.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC114599.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC114600.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC114601.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC114602.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC114603.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC114604.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC114605.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC114606.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC116334.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC116335.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC120586.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC125150.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC139175.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC163463.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC181102.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC210374.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC210505.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC214278.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC239393.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC239744.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC242077.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC265674.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC265675.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC284493.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC288101.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC289070.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC290004.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC290005.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC290288.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC293436.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC308273.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC312261.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC312667.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC329163.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC329164.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC329165.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC329167.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC335024.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC335978.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC359357.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC362141.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC362142.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC365149.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC365150.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC365197.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC371163.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC37740.ogg,ashdro1
data/birds/raw_audio/ashdro1\XC37741.ogg,ashdro1
